GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DevOps_Project,tn.esprit.devops_project.entities,ProductCategory,34,0,0,0,2,0,1,0,1,0
DevOps_Project,tn.esprit.devops_project.entities,Stock,36,0,0,0,6,0,8,0,8,0
DevOps_Project,tn.esprit.devops_project.entities,ActivitySector,46,0,0,0,7,0,10,0,10,0
DevOps_Project,tn.esprit.devops_project.entities,Supplier,56,10,0,0,6,3,11,3,11,3
DevOps_Project,tn.esprit.devops_project.entities,Operator,42,14,0,0,5,3,8,4,8,4
DevOps_Project,tn.esprit.devops_project.entities,InvoiceDetail,56,0,0,0,8,0,12,0,12,0
DevOps_Project,tn.esprit.devops_project.entities,Invoice,61,25,0,0,7,4,11,7,11,7
DevOps_Project,tn.esprit.devops_project.entities,Product,66,0,0,0,9,0,14,0,14,0
DevOps_Project,tn.esprit.devops_project.entities,SupplierCategory,24,0,0,0,2,0,1,0,1,0
DevOps_Project,tn.esprit.devops_project.controllers,ActivitySectorController,30,0,0,0,7,0,6,0,6,0
DevOps_Project,tn.esprit.devops_project.controllers,InvoiceController,37,0,0,0,9,0,7,0,7,0
DevOps_Project,tn.esprit.devops_project.controllers,StockController,20,0,0,0,4,0,4,0,4,0
DevOps_Project,tn.esprit.devops_project.controllers,ProductController,36,0,0,0,8,0,7,0,7,0
DevOps_Project,tn.esprit.devops_project.controllers,SupplierController,30,0,0,0,7,0,6,0,6,0
DevOps_Project,tn.esprit.devops_project.controllers,OperatorController,30,0,0,0,7,0,6,0,6,0
DevOps_Project,tn.esprit.devops_project.services,InvoiceServiceImpl,26,114,0,4,1,22,5,9,5,7
DevOps_Project,tn.esprit.devops_project.services,SupplierServiceImpl,52,0,0,0,8,0,8,0,8,0
DevOps_Project,tn.esprit.devops_project.services,ActivitySectorImpl,48,0,0,0,7,0,7,0,7,0
DevOps_Project,tn.esprit.devops_project.services,ProductServiceImpl,67,0,0,0,11,0,10,0,10,0
DevOps_Project,tn.esprit.devops_project.services,OperatorServiceImpl,40,0,0,0,7,0,7,0,7,0
DevOps_Project,tn.esprit.devops_project.services,StockServiceImpl,29,0,0,0,4,0,5,0,5,0
DevOps_Project,tn.esprit.devops_project,DevOpsProjectApplication,8,0,0,0,3,0,2,0,2,0
